Result listing  SAM 7.0.97    Mechanism: Prototyp 2 - wlasciwe wymiary

________________________________________________________________________
Nr	Time	Ux(2)	Fx(2)
[-]	[s]	[mm]	[N]	
   0	0,000	0,000	-299,008	
   1	0,015	0,150	-295,432	
   2	0,030	0,300	-291,894	
   3	0,045	0,450	-288,395	
   4	0,060	0,600	-284,935	
   5	0,075	0,750	-281,514	
   6	0,090	0,900	-278,133	
   7	0,105	1,050	-274,792	
   8	0,120	1,200	-271,489	
   9	0,135	1,350	-268,226	
  10	0,150	1,500	-265,002	
  11	0,165	1,650	-261,817	
  12	0,180	1,800	-258,671	
  13	0,195	1,950	-255,564	
  14	0,210	2,100	-252,495	
  15	0,225	2,250	-249,465	
  16	0,240	2,400	-246,473	
  17	0,255	2,550	-243,520	
  18	0,270	2,700	-240,604	
  19	0,285	2,850	-237,725	
  20	0,300	3,000	-234,884	
  21	0,315	3,150	-232,080	
  22	0,330	3,300	-229,312	
  23	0,345	3,450	-226,581	
  24	0,360	3,600	-223,886	
  25	0,375	3,750	-221,226	
  26	0,390	3,900	-218,602	
  27	0,405	4,050	-216,013	
  28	0,420	4,200	-213,459	
  29	0,435	4,350	-210,939	
  30	0,450	4,500	-208,453	
  31	0,465	4,650	-206,001	
  32	0,480	4,800	-203,582	
  33	0,495	4,950	-201,196	
  34	0,510	5,100	-198,843	
  35	0,525	5,250	-196,522	
  36	0,540	5,400	-194,232	
  37	0,555	5,550	-191,974	
  38	0,570	5,700	-189,747	
  39	0,585	5,850	-187,550	
  40	0,600	6,000	-185,384	
  41	0,615	6,150	-183,248	
  42	0,630	6,300	-181,141	
  43	0,645	6,450	-179,063	
  44	0,660	6,600	-177,014	
  45	0,675	6,750	-174,994	
  46	0,690	6,900	-173,001	
  47	0,705	7,050	-171,036	
  48	0,720	7,200	-169,099	
  49	0,735	7,350	-167,188	
  50	0,750	7,500	-165,304	
  51	0,765	7,650	-163,445	
  52	0,780	7,800	-161,613	
  53	0,795	7,950	-159,806	
  54	0,810	8,100	-158,024	
  55	0,825	8,250	-156,267	
  56	0,840	8,400	-154,534	
  57	0,855	8,550	-152,825	
  58	0,870	8,700	-151,140	
  59	0,885	8,850	-149,478	
  60	0,900	9,000	-147,839	
  61	0,915	9,150	-146,223	
  62	0,930	9,300	-144,629	
  63	0,945	9,450	-143,057	
  64	0,960	9,600	-141,506	
  65	0,975	9,750	-139,977	
  66	0,990	9,900	-138,469	
  67	1,005	10,050	-136,982	
  68	1,020	10,200	-135,515	
  69	1,035	10,350	-134,068	
  70	1,050	10,500	-132,641	
  71	1,065	10,650	-131,234	
  72	1,080	10,800	-129,846	
  73	1,095	10,950	-128,476	
  74	1,110	11,100	-127,126	
  75	1,125	11,250	-125,793	
  76	1,140	11,400	-124,479	
  77	1,155	11,550	-123,182	
  78	1,170	11,700	-121,903	
  79	1,185	11,850	-120,642	
  80	1,200	12,000	-119,397	
  81	1,215	12,150	-118,169	
  82	1,230	12,300	-116,958	
  83	1,245	12,450	-115,762	
  84	1,260	12,600	-114,583	
  85	1,275	12,750	-113,420	
  86	1,290	12,900	-112,272	
  87	1,305	13,050	-111,139	
  88	1,320	13,200	-110,021	
  89	1,335	13,350	-108,919	
  90	1,350	13,500	-107,830	
  91	1,365	13,650	-106,757	
  92	1,380	13,800	-105,697	
  93	1,395	13,950	-104,651	
  94	1,410	14,100	-103,619	
  95	1,425	14,250	-102,600	
  96	1,440	14,400	-101,595	
  97	1,455	14,550	-100,603	
  98	1,470	14,700	-99,624	
  99	1,485	14,850	-98,657	
 100	1,500	15,000	-97,703	
