Result listing  SAM 7.0.97    Mechanism: Prototyp 2 - wlasciwe wymiary

________________________________________________________________________
Nr	Time	Ux(2)	Fx(2)	Fabs(10)
[-]	[s]	[mm]	[N]	[N]	
   0	0,000	0,000	-299,008	211,431	
   1	0,015	0,150	-295,432	210,012	
   2	0,030	0,300	-291,894	208,601	
   3	0,045	0,450	-288,395	207,196	
   4	0,060	0,600	-284,935	205,798	
   5	0,075	0,750	-281,514	204,407	
   6	0,090	0,900	-278,133	203,024	
   7	0,105	1,050	-274,792	201,649	
   8	0,120	1,200	-271,489	200,282	
   9	0,135	1,350	-268,226	198,923	
  10	0,150	1,500	-265,002	197,572	
  11	0,165	1,650	-261,817	196,230	
  12	0,180	1,800	-258,671	194,896	
  13	0,195	1,950	-255,564	193,571	
  14	0,210	2,100	-252,495	192,255	
  15	0,225	2,250	-249,465	190,947	
  16	0,240	2,400	-246,473	189,649	
  17	0,255	2,550	-243,520	188,360	
  18	0,270	2,700	-240,604	187,079	
  19	0,285	2,850	-237,725	185,809	
  20	0,300	3,000	-234,884	184,547	
  21	0,315	3,150	-232,080	183,295	
  22	0,330	3,300	-229,312	182,052	
  23	0,345	3,450	-226,581	180,819	
  24	0,360	3,600	-223,886	179,595	
  25	0,375	3,750	-221,226	178,380	
  26	0,390	3,900	-218,602	177,176	
  27	0,405	4,050	-216,013	175,980	
  28	0,420	4,200	-213,459	174,795	
  29	0,435	4,350	-210,939	173,618	
  30	0,450	4,500	-208,453	172,452	
  31	0,465	4,650	-206,001	171,295	
  32	0,480	4,800	-203,582	170,147	
  33	0,495	4,950	-201,196	169,009	
  34	0,510	5,100	-198,843	167,881	
  35	0,525	5,250	-196,522	166,762	
  36	0,540	5,400	-194,232	165,653	
  37	0,555	5,550	-191,974	164,553	
  38	0,570	5,700	-189,747	163,462	
  39	0,585	5,850	-187,550	162,381	
  40	0,600	6,000	-185,384	161,309	
  41	0,615	6,150	-183,248	160,246	
  42	0,630	6,300	-181,141	159,193	
  43	0,645	6,450	-179,063	158,149	
  44	0,660	6,600	-177,014	157,114	
  45	0,675	6,750	-174,994	156,088	
  46	0,690	6,900	-173,001	155,072	
  47	0,705	7,050	-171,036	154,064	
  48	0,720	7,200	-169,099	153,066	
  49	0,735	7,350	-167,188	152,076	
  50	0,750	7,500	-165,304	151,095	
  51	0,765	7,650	-163,445	150,123	
  52	0,780	7,800	-161,613	149,159	
  53	0,795	7,950	-159,806	148,205	
  54	0,810	8,100	-158,024	147,259	
  55	0,825	8,250	-156,267	146,321	
  56	0,840	8,400	-154,534	145,392	
  57	0,855	8,550	-152,825	144,471	
  58	0,870	8,700	-151,140	143,559	
  59	0,885	8,850	-149,478	142,655	
  60	0,900	9,000	-147,839	141,760	
  61	0,915	9,150	-146,223	140,872	
  62	0,930	9,300	-144,629	139,992	
  63	0,945	9,450	-143,057	139,121	
  64	0,960	9,600	-141,506	138,258	
  65	0,975	9,750	-139,977	137,402	
  66	0,990	9,900	-138,469	136,554	
  67	1,005	10,050	-136,982	135,714	
  68	1,020	10,200	-135,515	134,882	
  69	1,035	10,350	-134,068	134,057	
  70	1,050	10,500	-132,641	133,240	
  71	1,065	10,650	-131,234	132,430	
  72	1,080	10,800	-129,846	131,628	
  73	1,095	10,950	-128,476	130,833	
  74	1,110	11,100	-127,126	130,045	
  75	1,125	11,250	-125,793	129,264	
  76	1,140	11,400	-124,479	128,491	
  77	1,155	11,550	-123,182	127,725	
  78	1,170	11,700	-121,903	126,965	
  79	1,185	11,850	-120,642	126,213	
  80	1,200	12,000	-119,397	125,467	
  81	1,215	12,150	-118,169	124,728	
  82	1,230	12,300	-116,958	123,996	
  83	1,245	12,450	-115,762	123,271	
  84	1,260	12,600	-114,583	122,552	
  85	1,275	12,750	-113,420	121,840	
  86	1,290	12,900	-112,272	121,134	
  87	1,305	13,050	-111,139	120,434	
  88	1,320	13,200	-110,021	119,741	
  89	1,335	13,350	-108,919	119,054	
  90	1,350	13,500	-107,830	118,374	
  91	1,365	13,650	-106,757	117,699	
  92	1,380	13,800	-105,697	117,030	
  93	1,395	13,950	-104,651	116,368	
  94	1,410	14,100	-103,619	115,711	
  95	1,425	14,250	-102,600	115,061	
  96	1,440	14,400	-101,595	114,416	
  97	1,455	14,550	-100,603	113,777	
  98	1,470	14,700	-99,624	113,143	
  99	1,485	14,850	-98,657	112,516	
 100	1,500	15,000	-97,703	111,893	
